antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_count,consequent_count
"frozenset({'vision insurance', 'health insurance'})",frozenset({'dental insurance'}),0.012215997510115158,0.024198568316215373,0.011982570806100218,0.9808917197452228,40.53511376902124,0.011686961155800979,51.06694159145111,0.9873920093297801,2,1
"frozenset({'life insurance', 'vision insurance'})",frozenset({'dental insurance'}),0.011593526299408652,0.024198568316215373,0.010971055088702147,0.9463087248322147,39.105979844191715,0.010690508350520067,18.174301665110477,0.985858034317018,2,1
frozenset({'word'}),frozenset({'excel'}),0.012605042016806723,0.032290694055399936,0.011671335200746966,0.9259259259259259,28.674698795180724,0.011264309645426799,13.064075630252102,0.9774468085106384,1,1
"frozenset({'life insurance', 'dental insurance'})",frozenset({'vision insurance'}),0.011982570806100218,0.025676937441643323,0.010971055088702147,0.9155844155844155,35.65785123966942,0.01066337936772385,11.54198089492206,0.9837434610241855,2,1
frozenset({'vision benefits'}),frozenset({'dental benefits'}),0.011360099595393714,0.011982570806100218,0.010348583877995643,0.910958904109589,76.02366127023662,0.010212460680229487,11.096195743254563,0.9981856893137928,1,1
"frozenset({'cash handling', 'communication'})",frozenset({'customer service'}),0.012682850918145036,0.21763149704326176,0.011515717398070339,0.9079754601226994,4.172077444939911,0.008755529565977927,8.501737732129886,0.7700780416321436,2,1
"frozenset({'sales', 'problemsolving', 'communication'})",frozenset({'customer service'}),0.012215997510115158,0.21763149704326176,0.01104886399004046,0.9044585987261146,4.155917737156963,0.00839027816403734,8.188790330947185,0.7687705595526685,3,1
frozenset({'cash handling'}),frozenset({'customer service'}),0.024431995020230315,0.21763149704326176,0.021864301276065982,0.894904458598726,4.112017197679952,0.016547129624059742,7.444354846315624,0.77576381323907,1,1
"frozenset({'dental insurance', 'health insurance'})",frozenset({'vision insurance'}),0.01353874883286648,0.025676937441643323,0.011982570806100218,0.8850574712643677,34.46896551724138,0.011634937199280583,8.476610644257697,0.9843147860185247,2,1
"frozenset({'leadership', 'problemsolving', 'customer service'})",frozenset({'communication'}),0.013772175536881419,0.2862589480236539,0.012138188608776844,0.8813559322033899,3.0788764448703363,0.008195780127592069,6.0158174380863505,0.6846351084812624,3,1
"frozenset({'leadership', 'problem solving', 'customer service'})",frozenset({'communication'}),0.014005602240896359,0.2862589480236539,0.012293806411453471,0.8777777777777778,3.066376732807828,0.008284577447536749,5.8396995161701035,0.683454401611047,3,1
"frozenset({'merchandising', 'communication'})",frozenset({'customer service'}),0.016962340491752256,0.21763149704326176,0.01478369125427949,0.8715596330275229,4.004749518652028,0.011092151699701909,6.091297630163176,0.7632428784482974,2,1
"frozenset({'retail', 'communication'})",frozenset({'customer service'}),0.012215997510115158,0.21763149704326176,0.010582010582010581,0.8662420382165604,3.9803155792489218,0.007923424756007462,5.849135950676563,0.7580236545189166,2,1
"frozenset({'sales', 'problemsolving', 'customer service'})",frozenset({'communication'}),0.012760659819483348,0.2862589480236539,0.01104886399004046,0.8658536585365854,3.0247217231617816,0.007396010934027447,5.320615114732761,0.6780433547057882,3,1
"frozenset({'leadership', 'problem solving', 'teamwork'})",frozenset({'communication'}),0.016184251478369126,0.2862589480236539,0.014005602240896359,0.8653846153846154,3.0230831956844457,0.009372715438148146,5.30207638611,0.680220745896165,3,1
frozenset({'dental benefits'}),frozenset({'vision benefits'}),0.011982570806100218,0.011360099595393714,0.010348583877995643,0.8636363636363636,76.02366127023662,0.010212460680229487,7.250025936300446,0.9988145667365768,1,1
"frozenset({'sales', 'problemsolving'})",frozenset({'customer service'}),0.01478369125427949,0.21763149704326176,0.012760659819483348,0.863157894736842,3.9661441770317816,0.009543262959989127,5.717308290837699,0.7590880722422766,2,1
"frozenset({'problem solving', 'customer service', 'teamwork'})",frozenset({'communication'}),0.016884531590413945,0.2862589480236539,0.01455026455026455,0.8617511520737327,3.0103902708484944,0.009716916299320501,5.1627269426289,0.6792865925015183,3,1
