support,itemsets,count
0.014005602240896359,{ability work fastpaced environment},180
0.022953625894802366,{ability work independently},295
0.0112822906940554,{ability work pressure},145
0.012449424214130096,{account management},160
0.03042328042328042,{accounting},391
0.012838468720821661,{accuracy},165
0.018207282913165267,{acls},234
0.0469187675070028,{adaptability},603
0.010971055088702147,{analysis},141
0.05003112356053532,{analytical skills},643
0.013616557734204794,{assessment},175
0.10286336756924992,{attention detail},1322
0.014939309056956116,{autocad},192
0.010348583877995643,{aws},133
0.05742296918767507,{bachelors degree},738
0.012760659819483348,{background check},164
0.014472455648926238,{bending},186
0.021708683473389355,{bls},279
0.01649548708372238,{bls certification},212
0.01875194522253346,{budget management},241
0.035480859010270774,{budgeting},456
0.019685652038593213,{business development},253
0.017040149393090568,{case management},219
0.024431995020230315,{cash handling},314
0.01353874883286648,{change management},174
0.013383131030189854,{civil engineering},172
0.016728913787737318,{cleaning},215
0.034080298786181136,{coaching},438
0.06746031746031746,{collaboration},867
0.2862589480236539,{communication},3679
0.1574852163087457,{communication skills},2024
0.013071895424836602,{compassion},168
0.02505446623093682,{compliance},322
0.02629940865234983,{computer skills},338
0.01836290071584189,{confidentiality},236
0.02933395580454404,{conflict resolution},377
0.011126672891378774,{construction},143
0.010815437286025522,{construction management},139
0.013616557734204794,{continuing education},175
0.012449424214130096,{continuous improvement},160
0.014705882352941176,{counseling},189
0.021164021164021163,{cpr},272
0.01478369125427949,{cpr certification},190
0.04123871770930594,{critical thinking},530
0.21763149704326176,{customer service},2797
0.06777155306567072,{data analysis},871
0.010426392779333956,{data collection},134
0.019452225334578275,{data entry},250
0.027544351073762838,{decision making},354
0.017973856209150325,{decisionmaking},231
0.012371615312791783,{dental},159
0.011982570806100218,{dental benefits},154
0.024198568316215373,{dental insurance},311
0.010815437286025522,{design},139
0.010815437286025522,{detailoriented},139
0.029489573607220668,{development},379
0.010893246187363835,{disability insurance},140
0.0291005291005291,{diversity},374
0.044273264861500156,{documentation},569
0.026455026455026454,{drivers license},340
0.02030812324929972,{education},261
0.012994086523498288,{electrical engineering},167
0.013616557734204794,{empathy},175
0.011671335200746966,{employee assistance program},150
